result,result1,result2,result3
ときどき(tokidoki) , sometimes,ときどきりょうりをつくります , I sometimes make food
とけい(tokei) , clock,とけいをかいました , I bought a clock
どこ(doko) , where,えきはどこですか , Where is the station?
ところ(tokoro) , place,ちかいところ , a place in the neighbourhood
とし  ,  year,ことしはさむいです , It’s cold this year
としょかん  ,  library,としょかんに行きます , I will go to the library
どちら  ,  where (polite),おてあらいはどちらですか , Where is the restroom?
どっち  ,  where (impolite),,
とても  ,  very,きょうはとてもさむいです , It’s very cold today
とし  ,  year,ことしはさむいです , It’s cold this year
としょかん  ,  library,としょかんに行きます , I will go to the library
どちら  ,  where (polite),おてあらいはどちらですか , Where is the restroom?
どっち  ,  where (impolite),,
とても  ,  very,きょうはとてもさむいです , It’s very cold today
どなた  ,  who (polite) あなたはどなたですか ,,
となり  ,  next (to),彼のとなりの人はだれですか , Who is next to him?
どの( +N)  ,  which (N),どのしゃしんですか , Which photo?
とぶ  ,  to fly,とりはとぶ , Birds fly
とまる  ,  to stop (moving),バスがとまる , The bus stops
ともだち(tomadachi) , friend,あなたは私のともだちです , You are my friend
どようび(doyoubi) , Saturday,きょうはどようびです , It is Saturday today
とり(tori) , bird,とりがうたっています , The birds are singing
とりにく(toriniku) , chicken meat,とりにくをかいました , I bought chicken meat
とる(toru) , to take,ざっしをとる , To take a magazine
とる(toru) , to take (a photo),しゃしんをとります , Take a photo
どれ(dore) ,  which,どれですか , Which one?
ナイフ(naifu) , knife,ナイフをつかいます , Use a knife
なか(naka) ," inside, in",からだのなか , Inside the body
ながい(nagai) , long,彼はかみがながいですね , He has long hair
なく(naku) ," to sing (bird), to make sound (animal)",とりがなく , A bird sings
なくす(nakusu) , to lose (something),たいせつなものをなくす , To lose something important
なぜ(naze) , why,なぜはやくきましたか , Why did you come early?
なつ(natsu) , summer,今はなつです , It is summer now
なつやすみ(natsuyasumi) , summer vacation,なつやすみはどうでしたか , How was your summer vacation?
ななつ(nanatsu) , seven (counting),,
なん/なに(nan/nani) , what,これはなんですか , What is this?
なのか(nanoka) ," seven days, the seventh day of the month",,
なまえ(namae) , name,私のなまえはたなかです , My name is Tanaka
ならう(narau) ," to take lessons in, to learn (from a teacher)",ダンスをならいます , Take dancing lessons
ならぶ(narabu) ," to line up, to stand in a line",たなにしょうひんがならぶ , Products line up on the shelf
ならべる(naraberu) ," to line up, to set up",いすをならべる , To line up chairs
なる(naru) ," to become, to be",とりになりたいです , I want to be a bird
に(ni) , 2,,
にぎやか(nigiyaka) ," bustling, lively",ここはとてもにぎやかですね , It is very lively there
にく(niku) , meat,にくをやく, To roast meat
にし(nishi) , west,にしのほうへ行きます , Go west
にちようび(nichiyoubi) , Sunday,あしたはにちようびですか , Is it Sunday tomorrow?
にもつ(nimotsu) ," luggage, baggage",にもつをおくる , To send baggage
ニュース(nyusu) , news,ニュースをききます , Listen to the news
にわ  ,  garden,にわであそびます , Play in the garden
～にん  ,  counter for people,さんにん , three people
ぬぐ  ,"  to take off (clothes, shoes, etc.)",ふくをぬぎます , I’ll take off my clothes
ぬるい  ,"  lukewarm, tepid",,
ネクタイ  ,"  tie, necktie",くろいネクタイをかいました , I bought a black tie
ねこ  ,  cat,ねこが好きです , I like cat
ねる  ,"  to go to bed, to sleep",彼はねます , He goes to bed
～ねん  , counter for years,私は 1999 ねんにうまれました , I was born in 1999
ノート  ,  notebook,ノートにかきます , Write in notebook
のぼる  ,  to climb,やまにのぼります , I climb a mountain
のみもの  ,"  drink, beverage",のみものをのみます , I drink beverages
のむ  ,  to drink,コーヒーをのみます , I drink coffee
のる  ," to get on (train, bus, etc.)",バスにのります , Get on a bus
は  ,  tooth,はをみがく , To brush one’s teeth
パーティー  ,  party,パーティーにきますか , Are you coming to the party?
～はい  ,"  counter for cups, bowls",,
はいざら  ,  ashtray,テーブルにはいざらをおきます , Put an ashtray on the table
はいる  ,"  to enter, to go into",いえにはいる , To come into the house
はがき  ,  postcard,はがきをおくる , To send a postcard
はく  ,"  to put on (or wear) lower-body clothing (pants, skirt, etc.)",ズボンをはく , To wear pants
はこ  ,  box,はこにかく , To write on the box
はし  ,  bridge,はしをわたる , To cross a bridge
はし  ,  chopsticks,はしでたべる , To eat with chopsticks
はじまる  ,"  to begin, to start",なつやすみがはじまる , Summer holidays are starting
はじめ  ,"  beginning, start",私ははじめからしっていました , I knew it from the beginning
はじめて  ,  for the first time,,
はしる  ,  to run,まえへはしる , To run ahead
バス  ,  bus,バスをおりる , To get off the bus
バター  ,  butter,バターをたべる , To eat butter
はたち  ,  20 years old,私ははたちです , I’m 20 years old
はたらく  , to work,いえではたらきます , I work at home
はち  ,  8,,
はつか  ,"  twenty days, twentieth day of the month",,
はな  ,  flower,このはながきれいですね ," This flower is beautiful, isn’t it?"
はな  ,  nose,彼ははなが大です , He has a big nose
はなし  ,"  talk, story",そのはなしはきいています , I’ve heard that / はなしをやめる 
はなす  ,"  to talk, to speak",えいごではなす , To speak in English
はは  ,  mother,はははかいものに行きます , My mother will go shopping
はやい  ,"  early, soon",はやくおきる , To get up early
はやい  ,"  fast, quick",あなたははしるのがはやいです , You run fast
はる  ,  spring,はるがきました , Spring has come
はる  ,"  to stick, to paste",てがみにきってをはる , To stick a stamp on a letter
はれ  ,"  clear weather, fine weather",きょうははれです , It is sunny today
はれる  ,"  to clear up, to be sunny",あしたははれるとおもいます , I think it will be sunny tomorrow
はん  ,  half,はんとし , half year
ばん  ,  evening,,
パン  ,  bread,パンをかいます , I buy bread
ハンカチ  ,  handkerchief,あかいハンカチをかいました , I bought a red handkerchief
ばんごう  ,  number,へやばんごうをわすれました , I forgot my room number
ばんごはん  ,"  dinner, evening meal",,
はんぶん  ,  half,ものをはんぶんにきる , To cut something into half
ひがし  ,  east,,
～ひき  ,  counter for small animals,あそこにねこがにひきいます , There are 2 cats over there
ひく  ,  to pull,つなをひく , To pull the rope
ひく  ,  to play (a stringed or keyboard instrument),ギターをひく , To play the guitar
ひくい  ,  short (height),せがひくいです , I am short
ひこうき  ,  airplane,私はひこうきでそこへ行きます , We will go there by plane
ひだり  ,  left,ひだりにまがる , To turn to the left
ひと  ,"  person, man",あのひとはだれですか , Who is that person?
ひとつ  ,  one,ひとついくらですか , How much each?
ひとつき  ,  one month,私はひとつきにいっかいとしょかんに行きます , I go to the library once a month
ひとり  ," one person, alone",ひとりで行きます , I’ll go alone
ひま  ," spare time, free time",いまおひまですか , Have you time to spare?
ひゃく  ,  100,,
びょういん  ,  hospital,彼はきょうびょういんへ行きます , He will go to the hospital today
びょうき  ,"  illness, sickness",びょうきになる , To get sick
ひらがな  ,  hiragana,,
ひる  ,  noon,私はひるまでねました , I slept until noon
ひるごはん  ,  lunch,ひるごはんをたべません , I don’t eat lunch
ひろい  ,"  spacious, wide",あなたのいえはひろいです , Your house is spacious
フィルム  ,  film,カメラにフィルムを入れる , To charge a camera
ふうとう  ,  envelope,ふうとうの上にかく , To superscribe an envelope
プール  ,  pool,プールでおよぎます , I swim in the pool
フォーク  , fork,フォークでたべます , Eat with a fork
ふく  ,  to blow (wind),かぜがふく , The wind blows
ふく  ,  clothes,ふくをきる , To wear clothes
ふたつ  ,  two,テーブルがふたつあります , There are two tables
ぶたにく  ,  pork,ぶたにくをたべません , I don’t eat pork
ふたり  , two people,ふたりはこいびとです , They are lovers
ふつか  , second day of the month,,
ふとい  ," fat, thick",私のあしはふといです , My legs are thick
ふゆ  ,  winter,あなたはふゆは好きですか , Do you like winter?
ふる  ,"  to fall (of rain, snow)",あめがふる , It rains
ふるい  ,  old,このカメラはふるいです , This camera is old
ふろ  , bath,ふろに入る , To take a bath
ぶんしょう  ,"  composition, article",ぶんしょうをかく , To write a composition
ページ  ,  page,11 ページをあけます , Open to page 11
へた  ,"  poor, unskillful",えいごがへたです , I am bad at English
ベッド  ,  bed,ベッドで本をよみます , I read a book in bed
ペット  ,  pet,ペットとあそぶ , To play with pet
へや  ,  room,このへやはあついです , This room is hot
へん  ,"  area, region",このへんはしずかです , This area is quiet
ペン  ,  pen,ペンでかく , To write with pen and ink
べんきょう（する）  ,  study,にほんごをべんきょうします , I study Japanese
べんり  ,  convenient,それはとてもべんりです , That is very convenient
ほうこう  ,  direction,ほうこうをかえる , To change direction
ぼうし  ,  hat,ぼうしをかぶる , To wear a hat
ボールペン  ,  ball-point pen,ボールペンでかきます , Write with a ball-point pen
ほか  ,"  besides, in addition to",,
ポケット  ,  pocket,かぎをポケットに入れました , I put the key in my pocket
ほしい  ,"  wanted, desired",あたらしいカメラがほしいです , I want a new camera
ポスト  ,  mailbox,てがみをポストに入れる , To put a letter in a mailbox
ほそい  , thin,かのじょはほそいです , He is thin
ボタン  ,  button,ボタンをおす , To press a button
ホテル  ,  hotel,ホテルをさがす , To find a hotel
ほん  ,  book,ほんをよみます , I read a book
～ほん  ,  counter for long cylindrical things,えんぴつをさんぼんかいました , I bought 2 pencils
ほんだな  ,  bookshelf,ほんだなをつくります , I will make a bookshelf
ほんとう  ,  real,それはほんとうですか , Is that true?
～まい  ,  counter for flat objects,おさらをごまいかいます , I buy 5 plates
まいあさ  ,  every morning,まいあさ 7 じにおきます , I get up at 7 every morning
まいつき  ,  every month,私はまいつき日本に行きます , I go to Japan every month
まいしゅう  ,  every week,あなたはまいしゅういそがしいですか , Are you busy every week?
まいにち  ,  every day,私はまいにち本をよみます , I read a book every year
まいとし  ,  every year,まいとしうみに行きます , I go to the ocean every year
まいばん  ,  every night,まいばんテレビをみます , I watch TV every night
まえ  ,"  ago, before (some event)",,
～まえ  ,  in front of ~,えきまえにこうえんがあります , There is a park in front of the station
まがる  ,  to turn,ひだりにまがる , To turn to the left
まずい  ,  unappetizing,このたべものはまずいです , This food tastes bad
また  ,  again,またきます, I’ll come again
まだ  ,  still ~,私はまだわかりません , I still don’t understand
まち  ,  town,このまちはしずかです , This town is quiet
まつ  ,  to wait,ともだちをまつ , To wait for friends
まっすぐ  , straight (ahead),まっすぐ行く , To go straight
マッチ  ,  match,マッチをする , To light a match
まど  ,  window,まどをあける , To open a window
まるい  ,  round,彼はかおがまるいです , He has a round face
まん  ,"  10,000",,
まんねんひつ  , fountain pen,まんねんひつでてがみをかきました , I wrote a letter with a fountain pen
みがく  ," to brush (teeth), to shine",はをみがく , To brush teeth / くつをみがく 
みぎ  ,  right,みぎにまがる , To turn to the right
みじかい  ,  short,私はみじかいかみが好きです , I like short hair
みず  ,  water,みずをのむ , To drink water
みせ  ,  store,みせに入る , To go into a store
みせる  ,  to show,それをみせてください , Show me that
みち  ,  road,みちをわたる, To cross the road.
みっか  , the third day of the month,,
みっつ  , three,このへやにはテーブルがみっつあります , There are 3 tables in this room
みどり  ,  green,みどりのふくが好きです , I like green clothes
みなさん  ,"  everyone, everybody",みなさんはおげんきですか , How is everyone?
みなみ  ,  south,みなみに行く , To go south
みみ  ,  ear,みみがいたいです , My ear hurts
みる  ,"  to see, to look, to watch",つきをみる , To look at the moon
みんな  ,"  all, everyone, everybody",みんなのことが好きです , I love you all
むいか  , sixth day of the month,,
むこう  ,"  opposite side, other side, over there, beyond",むこうはうみです , Over there is the sea
むずかしい  ,"  difficult, hard",日本ごがむずかしいです , Japanese is difficult
むっつ  ,  six,,
むら  , village,私はこのむらでうまれました , I was born in this village
め  ,  eye,めがいたいです , My eyes hurt
メートル  ,"  metre, meter",100メートルをはしりました , I ran 100 meters
めがね  ,  glasses 彼はめがねをかけています ,,
もう  ,  already,もうひるごはんをたべました , I already had lunch
もういちど  ,"  once more, again",もういちどいってください , Please say it again
もくようび  ,  Thursday,きょうはもくようびです , Today is Thursday
もしもし  , hello (on phone),もしもし、私はたなかです ," Hello, I’m Tanaka"
もつ  ,  to hold (in one’s hand),かさをもつ , To hold an umbrella
もっと  ,"  more, even more",もっとあそびたいです , I want to play more
もの  ,"  thing, object",ものをなくす , To lose something
もん  ,  gate,もんをしめる , To close the gate
もんだい  ,  problem,もんだいがあります , There is a problem
やおや  ,  greengrocer,そのやおやでさかなをかいました , I bought fish at the greengrocer
やさい  ,  vegetable,やさいをたべる , To eat vegetables
やさしい  ,"  easy, simple",しけんはやさしいです , The exam is easy
やすい  ,  cheap,この本はやすいです , This book is cheap
やすみ  ,"  vacation, holiday",あしたはやすみです , Tomorrow is holiday
やすむ  ,"  to take a day off, to rest",しずかにやすむ , To rest quietly
やっつ  ,  eight,,
やま  ,  mountain,やまにのぼります , I climb a mountain
やる  ,  to do,しゅくだいをやります , I will do homework
ゆうがた  ," evening, dusk",私はゆうがたにさんぽします , I take a walk in the evening
ゆうはん  ,  evening meal,ゆうはんをたべましたか , Did you eat dinner?
ゆうびんきょく  ,  post office,ゆうびんきょくはどこですか , Where is the post office?
ゆうべ  ,  last night,ゆうべは 12 じにねました , I slept at 12 o’clock last night
ゆうめい  ,  famous,あの人はゆうめいです , That person is famous
ゆき  ,  snow,ゆきがふる , It snows
ゆっくり・と  ,"  slowly, at ease",ゆっくりやすむ , To take a rest slowly
ようか  ,  the eighth day of the month,,
ようふく  ,  Western-style clothes,ようふくをかいます , I buy Western-style clothes
よく  ,  often,よくとしょかんへ行きます , I often go to the library
よこ  ,"  beside, next to",彼は私のよこにすわりました , He sat next to me
よっか  ,  fourth day of the month,,
よっつ  ,  four,,
よぶ  ,  to call,いしゃをよぶ , To call a doctor
よむ  ,  to read,本をよみます , I read a book
よる  ,"  evening, night",私はよる 11 じにねます , I sleep at 11 pm
よわい  ,  weak,私はよわいです , I’m weak
らいげつ  ,  next month,らいげつは 12 月です , Next month is December
らいしゅう  ,  next week,らいしゅうしけんがあります , There will be an exam next week
らいねん  ,  next year,らいねんは 21 さいになります , I’ll be 21 years old next year
ラジオ  ,  radio,ラジオをききます , I listen to the radio
ラジカセ  ,  radio-cassette player,ラジカセでおんがくをききます , I listen to music with a radio-cassette player
りっぱ  ,  splendid,りっぱないえ , A splendid house
りゅうがくせい  ,  overseas student,あなたはりゅうがくせいですか , Are you an overseas student?
りょうしん  ,  parents,私はりょうしんといっしょにすんでいます , I live with my parents
りょうり  ,  dish,りょうりをつくります , I am going to make food
りょこう  ,"  travel, trip",私はりょこうが好きです , I like traveling
れい  ,  zero,,
れいぞうこ  ,  refrigerator,れいぞうこにバターはありますか , Is there any butter in the refrigerator?
レコード  ,  record,,
レストラン  ,  restaurant,レストランではたらきます , I am going to work in a restaurant
れんしゅう（する）,"  practice, practising",およぐれんしゅうをします , I practice swimming
ろうか ,  corridor,ろうかをあるく , To walk along a corridor
ろく ,  6,,
ワイシャツ  ," shirt, business shirt",ワイシャツをかう , To buy a shirt
わかい  ,  young,かのじょはわかいです , She is young
わかる  ,  to understand,にほんごはわかりますか , Do you understand Japanese?
わすれる  , to forget,かさをわすれました , I forgot my umbrella
わたし  ,"  I, me",わたしはがくせいです , I’m a student
わたくし  ,"  I, me",,
わたす  ,"  to hand over, to hand in, to give",人にものをわたす , To hand someone something
わたる  ,  to go across,みちをわたる , Cross the road
わるい  ,  bad,彼はわるい人ですか , Is he a bad person?
より、ほう  ,  than,この本よりその本のほうがやすいです , That book is cheaper than this book
